Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,817,12,T:System.Drawing.Icon,,,,,this.customMainIcon = null;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,510,12,T:System.Drawing.Icon,,,,,set { this.customFooterIcon = value; }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,510,18,T:System.Drawing.Icon,,,,,this.customFooterIcon = value;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,509,12,T:System.Drawing.Icon,,,,,get { return this.customFooterIcon; }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,509,18,T:System.Drawing.Icon,,,,,return this.customFooterIcon;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,507,8,T:System.Drawing.Icon,,,,,internal Icon? CustomFooterIcon
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,488,12,T:System.Drawing.Icon,,,,,set { this.customMainIcon = value; }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,488,18,T:System.Drawing.Icon,,,,,this.customMainIcon = value;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,487,12,T:System.Drawing.Icon,,,,,get { return this.customMainIcon; }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,487,18,T:System.Drawing.Icon,,,,,return this.customMainIcon;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,485,8,T:System.Drawing.Icon,,,,,internal Icon? CustomMainIcon
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,413,16,P:System.Environment.OSVersion,,,,,OperatingSystem os = Environment.OSVersion;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,306,22,T:System.Drawing.Icon,,,,,customFooterIcon
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogue.cs,292,22,T:System.Drawing.Icon,,,,,customMainIcon
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,817,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.Success)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,820,12,M:System.Runtime.CompilerServices.RuntimeHelpers.PrepareConstrainedRegions,,,,,RuntimeHelpers.PrepareConstrainedRegions();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,684,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,712,12,M:System.Runtime.CompilerServices.RuntimeHelpers.PrepareConstrainedRegions,,,,,RuntimeHelpers.PrepareConstrainedRegions();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,656,12,M:System.Runtime.CompilerServices.RuntimeHelpers.PrepareConstrainedRegions,,,,,RuntimeHelpers.PrepareConstrainedRegions();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,550,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,573,12,M:System.Runtime.CompilerServices.RuntimeHelpers.PrepareConstrainedRegions,,,,,RuntimeHelpers.PrepareConstrainedRegions();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,544,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,538,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,246,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,257,12,M:System.Runtime.CompilerServices.RuntimeHelpers.PrepareConstrainedRegions,,,,,RuntimeHelpers.PrepareConstrainedRegions();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Privilege.cs,33,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.Success)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\ActiveTaskDialogue.cs,409,8,T:System.Drawing.Icon,,,,,internal void UpdateFooterIcon(Icon icon)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\ActiveTaskDialogue.cs,412,12,P:System.Drawing.Icon.Handle,,,,,"UnsafeNativeMethods.SendMessage(                  this._handle,                  (uint)UnsafeNativeMethods.TASKDIALOG_MESSAGES.TDM_UPDATE_ICON,                  (IntPtr)UnsafeNativeMethods.TASKDIALOG_ICON_ELEMENTS.TDIE_ICON_FOOTER,                  icon?.Handle ?? IntPtr.Zero);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\ActiveTaskDialogue.cs,379,8,T:System.Drawing.Icon,,,,,internal void UpdateMainIcon(Icon icon)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\ActiveTaskDialogue.cs,382,12,P:System.Drawing.Icon.Handle,,,,,"UnsafeNativeMethods.SendMessage(                  this._handle,                  (uint)UnsafeNativeMethods.TASKDIALOG_MESSAGES.TDM_UPDATE_ICON,                  (IntPtr)UnsafeNativeMethods.TASKDIALOG_ICON_ELEMENTS.TDIE_ICON_MAIN,                  icon?.Handle ?? IntPtr.Zero);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\ActiveTaskDialogue.cs,19,40,T:System.Windows.Forms.IWin32Window,,,,,IWin32Window
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogueCommonDialogue.cs,95,12,T:System.Windows.Forms.DialogResult,,,,,return (this._taskDialogResult != (int)DialogResult.Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogueCommonDialogue.cs,95,12,T:System.Windows.Forms.DialogResult,,,,,return (this._taskDialogResult != (int)DialogResult.Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogueCommonDialogue.cs,95,12,F:System.Windows.Forms.DialogResult.Cancel,,,,,return (this._taskDialogResult != (int)DialogResult.Cancel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogueCommonDialogue.cs,45,8,M:System.Windows.Forms.CommonDialog.#ctor,,,,,internal TaskDialogueCommonDialogue(TaskDialog taskDialogue)          {              this._taskDialogue = taskDialogue ?? throw new ArgumentNullException(nameof(taskDialogue));          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogueCommonDialogue.cs,45,8,M:System.Windows.Forms.CommonDialog.#ctor,,,,,internal TaskDialogueCommonDialogue(TaskDialog taskDialogue)          {              this._taskDialogue = taskDialogue ?? throw new ArgumentNullException(nameof(taskDialogue));          }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\TaskDialogue\TaskDialogueCommonDialogue.cs,19,48,T:System.Windows.Forms.CommonDialog,,,,,CommonDialog
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\SafeHandles.cs,432,9,T:System.Runtime.ConstrainedExecution.PrePrepareMethodAttribute,,,,,PrePrepareMethod
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\SafeHandles.cs,431,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\SafeHandles.cs,331,9,T:System.Runtime.ConstrainedExecution.PrePrepareMethodAttribute,,,,,PrePrepareMethod
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\SafeHandles.cs,330,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\SafeHandles.cs,204,9,T:System.Runtime.ConstrainedExecution.PrePrepareMethodAttribute,,,,,PrePrepareMethod
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\SafeHandles.cs,203,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\SafeHandles.cs,158,9,T:System.Runtime.ConstrainedExecution.ReliabilityContractAttribute,,,,,"ReliabilityContract(Consistency.WillNotCorruptState, Cer.MayFail)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\ProcessManager.cs,254,12,P:System.Environment.OSVersion,,,,,System.Diagnostics.Debug.Assert(Environment.OSVersion.Version.Major >= 6);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,225,12,T:System.Windows.Forms.Keys,,,,,set  			{  				// Save and reregister  				this.keyCode = value;  				this.Reregister();  			}
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,228,4,T:System.Windows.Forms.Keys,,,,,this.keyCode = value;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,224,12,T:System.Windows.Forms.Keys,,,,,get { return this.keyCode; }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,224,18,T:System.Windows.Forms.Keys,,,,,return this.keyCode;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,222,8,T:System.Windows.Forms.Keys,,,,,internal Keys KeyCode
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,pylorak.Windows\pylorak.Windows.csproj,File,pylorak.Windows\Hotkey.cs,214,9,T:System.Windows.Forms.Keys,,,,,return this.keyCode == Keys.None;
